Stat,Keras,LiteRT,Keras / LiteRT
duration_time (ns),13009878540,1576031265,8.254835313
user_time (ns),12510103010,590813796,21.17435831
system_time (ns),955558016,107537160,8.885840169
cpu_cycles,31625004024,1496717095,21.12958029
cache-misses,253354708,8404318,30.1457784
cache-references,12006358389,451173635,26.61139184
stalled-cycles-backend,11242520473,814494145,13.80307095
L1-dcache-loads,12005162719,455526748,26.35446277
L1-dcache-load-misses,254041726,8788863,28.90495915
l2d_cache_rd,757540701,18930773,40.01636389
l2d_cache_inval,35945020,513631,69.98218565
l3d_cache_rd,461660374,12631207,36.54918916
LLC-loads,461256024,12606124,36.58983713
LLC-load-misses,174554132,5598791,31.17711163
mem_access_rd,8500914063,311240116,27.31304104
